400899488/October 30, 2016/Milwaukee Bucks/Detroit Pistons
400899489/October 30, 2016/Washington Wizards/Memphis Grizzlies
400899490/October 30, 2016/Los Angeles Lakers/Oklahoma City Thunder
400899491/October 30, 2016/Dallas Mavericks/Houston Rockets
400899492/October 31, 2016/Denver Nuggets/Toronto Raptors
400899493/October 31, 2016/Chicago Bulls/Brooklyn Nets
400899494/October 31, 2016/Sacramento Kings/Atlanta Hawks
400899495/October 31, 2016/Phoenix Suns/LA Clippers
400899496/November 1, 2016/Orlando Magic/Philadelphia 76ers
400899497/November 1, 2016/Houston Rockets/Cleveland Cavaliers
400899498/November 1, 2016/Los Angeles Lakers/Indiana Pacers
400899499/November 1, 2016/Sacramento Kings/Miami Heat
400899500/November 1, 2016/New York Knicks/Detroit Pistons
400899501/November 1, 2016/Milwaukee Bucks/New Orleans Pelicans
400899502/November 1, 2016/Memphis Grizzlies/Minnesota Timberwolves
400899503/November 1, 2016/Utah Jazz/San Antonio Spurs
400899504/November 1, 2016/Golden State Warriors/Portland Trail Blazers
400899505/November 2, 2016/Toronto Raptors/Washington Wizards
400899506/November 2, 2016/Philadelphia 76ers/Charlotte Hornets
400899507/November 2, 2016/Detroit Pistons/Brooklyn Nets
400899508/November 2, 2016/Houston Rockets/New York Knicks
400899509/November 2, 2016/Los Angeles Lakers/Atlanta Hawks
400899510/November 2, 2016/New Orleans Pelicans/Memphis Grizzlies
400899511/November 2, 2016/Chicago Bulls/Boston Celtics
400899512/November 2, 2016/Dallas Mavericks/Utah Jazz
400899513/November 2, 2016/Portland Trail Blazers/Phoenix Suns
400899514/November 2, 2016/Oklahoma City Thunder/LA Clippers
400899515/November 3, 2016/Sacramento Kings/Orlando Magic
400899516/November 3, 2016/Indiana Pacers/Milwaukee Bucks
400899517/November 3, 2016/Denver Nuggets/Minnesota Timberwolves
400899518/November 3, 2016/Boston Celtics/Cleveland Cavaliers
400899519/November 3, 2016/Oklahoma City Thunder/Golden State Warriors
400899520/November 4, 2016/Atlanta Hawks/Washington Wizards
400899521/November 4, 2016/Miami Heat/Toronto Raptors
400899522/November 4, 2016/Charlotte Hornets/Brooklyn Nets
400899523/November 4, 2016/New York Knicks/Chicago Bulls
400899524/November 4, 2016/LA Clippers/Memphis Grizzlies
400899525/November 4, 2016/Phoenix Suns/New Orleans Pelicans
400899526/November 4, 2016/Portland Trail Blazers/Dallas Mavericks
400899527/November 4, 2016/San Antonio Spurs/Utah Jazz
400899528/November 4, 2016/Golden State Warriors/Los Angeles Lakers
400899529/November 5, 2016/Minnesota Timberwolves/Oklahoma City Thunder
400899530/November 5, 2016/Cleveland Cavaliers/Philadelphia 76ers
400899531/November 5, 2016/Washington Wizards/Orlando Magic
400899532/November 5, 2016/Denver Nuggets/Detroit Pistons
400899533/November 5, 2016/Chicago Bulls/Indiana Pacers
400899534/November 5, 2016/Houston Rockets/Atlanta Hawks
400899535/November 5, 2016/Sacramento Kings/Milwaukee Bucks
400899536/November 5, 2016/LA Clippers/San Antonio Spurs
400899537/November 6, 2016/Utah Jazz/New York Knicks
400899538/November 6, 2016/Portland Trail Blazers/Memphis Grizzlies
400899539/November 6, 2016/Sacramento Kings/Toronto Raptors
400899540/November 6, 2016/Milwaukee Bucks/Dallas Mavericks
400899541/November 6, 2016/Denver Nuggets/Boston Celtics
400899542/November 6, 2016/Phoenix Suns/Los Angeles Lakers
400899543/November 7, 2016/Utah Jazz/Philadelphia 76ers
400899544/November 7, 2016/Houston Rockets/Washington Wizards
400899545/November 7, 2016/Indiana Pacers/Charlotte Hornets
400899546/November 7, 2016/Orlando Magic/Chicago Bulls
400899547/November 7, 2016/Miami Heat/Oklahoma City Thunder
400899548/November 7, 2016/Detroit Pistons/LA Clippers
400899549/November 7, 2016/New Orleans Pelicans/Golden State Warriors
400899550/November 8, 2016/Atlanta Hawks/Cleveland Cavaliers
400899551/November 8, 2016/Minnesota Timberwolves/Brooklyn Nets
400899552/November 8, 2016/Denver Nuggets/Memphis Grizzlies
400899553/November 8, 2016/Phoenix Suns/Portland Trail Blazers
400899554/November 8, 2016/Dallas Mavericks/Los Angeles Lakers
400899555/November 8, 2016/New Orleans Pelicans/Sacramento Kings
400899556/November 9, 2016/Brooklyn Nets/New York Knicks
400899557/November 9, 2016/Boston Celtics/Washington Wizards
400899558/November 9, 2016/Utah Jazz/Charlotte Hornets
400899559/November 9, 2016/Minnesota Timberwolves/Orlando Magic
400899560/November 9, 2016/Philadelphia 76ers/Indiana Pacers
400899561/November 9, 2016/Chicago Bulls/Atlanta Hawks
400899562/November 9, 2016/Toronto Raptors/Oklahoma City Thunder
400899563/November 9, 2016/Detroit Pistons/Phoenix Suns
400899564/November 9, 2016/Houston Rockets/San Antonio Spurs
400899565/November 9, 2016/Portland Trail Blazers/LA Clippers
400899566/November 9, 2016/Dallas Mavericks/Golden State Warriors
400899567/November 10, 2016/New Orleans Pelicans/Milwaukee Bucks
400899568/November 10, 2016/Chicago Bulls/Miami Heat
400899569/November 10, 2016/Golden State Warriors/Denver Nuggets
400899570/November 10, 2016/Los Angeles Lakers/Sacramento Kings
400899571/November 11, 2016/Indiana Pacers/Philadelphia 76ers
400899572/November 11, 2016/Cleveland Cavaliers/Washington Wizards
400899573/November 11, 2016/Toronto Raptors/Charlotte Hornets
400899574/November 11, 2016/Utah Jazz/Orlando Magic
400899575/November 11, 2016/New York Knicks/Boston Celtics
400899576/November 11, 2016/LA Clippers/Oklahoma City Thunder
400899577/November 11, 2016/Detroit Pistons/San Antonio Spurs
400899578/November 11, 2016/Sacramento Kings/Portland Trail Blazers
400899579/November 12, 2016/Los Angeles Lakers/New Orleans Pelicans
400899580/November 12, 2016/Boston Celtics/Indiana Pacers
400899581/November 12, 2016/New York Knicks/Toronto Raptors
400899582/November 12, 2016/Philadelphia 76ers/Atlanta Hawks
400899583/November 12, 2016/Washington Wizards/Chicago Bulls
400899584/November 12, 2016/San Antonio Spurs/Houston Rockets
400899585/November 12, 2016/LA Clippers/Minnesota Timberwolves
400899586/November 12, 2016/Utah Jazz/Miami Heat
400899587/November 12, 2016/Memphis Grizzlies/Milwaukee Bucks
400899588/November 12, 2016/Detroit Pistons/Denver Nuggets
400899589/November 12, 2016/Brooklyn Nets/Phoenix Suns
400899590/November 13, 2016/Charlotte Hornets/Cleveland Cavaliers
400899591/November 13, 2016/Orlando Magic/Oklahoma City Thunder
400899592/November 13, 2016/Los Angeles Lakers/Minnesota Timberwolves
400899593/November 13, 2016/Phoenix Suns/Golden State Warriors
400899594/November 13, 2016/Denver Nuggets/Portland Trail Blazers
400899595/November 14, 2016/Orlando Magic/Indiana Pacers
400899596/November 14, 2016/Dallas Mavericks/New York Knicks
400899597/November 14, 2016/Oklahoma City Thunder/Detroit Pistons
400899598/November 14, 2016/Boston Celtics/New Orleans Pelicans
400899599/November 14, 2016/Philadelphia 76ers/Houston Rockets
400899600/November 14, 2016/Miami Heat/San Antonio Spurs
400899601/November 14, 2016/Memphis Grizzlies/Utah Jazz
400899602/November 14, 2016/Brooklyn Nets/LA Clippers
400899603/November 15, 2016/Toronto Raptors/Cleveland Cavaliers
400899604/November 15, 2016/Atlanta Hawks/Miami Heat
400899605/November 15, 2016/Charlotte Hornets/Minnesota Timberwolves
400899606/November 15, 2016/Chicago Bulls/Portland Trail Blazers
400899607/November 15, 2016/Brooklyn Nets/Los Angeles Lakers
400899608/November 16, 2016/Washington Wizards/Philadelphia 76ers
400899609/November 16, 2016/New Orleans Pelicans/Orlando Magic
400899610/November 16, 2016/Cleveland Cavaliers/Indiana Pacers
400899611/November 16, 2016/Dallas Mavericks/Boston Celtics
400899612/November 16, 2016/Detroit Pistons/New York Knicks
400899613/November 16, 2016/Milwaukee Bucks/Atlanta Hawks
400899614/November 16, 2016/Houston Rockets/Oklahoma City Thunder
400899615/November 16, 2016/Golden State Warriors/Toronto Raptors
400899616/November 16, 2016/Phoenix Suns/Denver Nuggets
400899617/November 16, 2016/Memphis Grizzlies/LA Clippers
400899618/November 16, 2016/San Antonio Spurs/Sacramento Kings
400899619/November 17, 2016/New York Knicks/Washington Wizards
400899620/November 17, 2016/Milwaukee Bucks/Miami Heat
400899621/November 17, 2016/Portland Trail Blazers/Houston Rockets
400899622/November 17, 2016/Philadelphia 76ers/Minnesota Timberwolves
400899623/November 17, 2016/Chicago Bulls/Utah Jazz
400899624/November 18, 2016/Atlanta Hawks/Charlotte Hornets
400899625/November 18, 2016/Detroit Pistons/Cleveland Cavaliers
400899626/November 18, 2016/Phoenix Suns/Indiana Pacers
400899627/November 18, 2016/Portland Trail Blazers/New Orleans Pelicans
400899628/November 18, 2016/Brooklyn Nets/Oklahoma City Thunder
400899629/November 18, 2016/Golden State Warriors/Boston Celtics
400899630/November 18, 2016/Memphis Grizzlies/Dallas Mavericks
400899631/November 18, 2016/Toronto Raptors/Denver Nuggets
400899632/November 18, 2016/San Antonio Spurs/Los Angeles Lakers
400899633/November 18, 2016/LA Clippers/Sacramento Kings
400899634/November 19, 2016/Utah Jazz/Houston Rockets
400899635/November 19, 2016/Charlotte Hornets/New Orleans Pelicans
400899636/November 19, 2016/Miami Heat/Washington Wizards
400899637/November 19, 2016/Dallas Mavericks/Orlando Magic
400899638/November 19, 2016/Boston Celtics/Detroit Pistons
400899639/November 19, 2016/Phoenix Suns/Philadelphia 76ers
400899640/November 19, 2016/Minnesota Timberwolves/Memphis Grizzlies
400899641/November 19, 2016/Golden State Warriors/Milwaukee Bucks
400899642/November 19, 2016/Chicago Bulls/LA Clippers
400899643/November 20, 2016/Atlanta Hawks/New York Knicks
400899644/November 20, 2016/Portland Trail Blazers/Brooklyn Nets
400899645/November 20, 2016/Indiana Pacers/Oklahoma City Thunder
400899646/November 20, 2016/Toronto Raptors/Sacramento Kings
400899647/November 20, 2016/Utah Jazz/Denver Nuggets
400899648/November 20, 2016/Chicago Bulls/Los Angeles Lakers
400899649/November 21, 2016/Miami Heat/Philadelphia 76ers
400899650/November 21, 2016/Phoenix Suns/Washington Wizards
400899651/November 21, 2016/Memphis Grizzlies/Charlotte Hornets
400899652/November 21, 2016/Golden State Warriors/Indiana Pacers
400899653/November 21, 2016/Houston Rockets/Detroit Pistons
400899654/November 21, 2016/Orlando Magic/Milwaukee Bucks
